title,gnis_name,state,locatio
Pearl Lake Brook Dam,Pearl Lake Brook,NH, 
Groton-9 Dam,Wells River,, 
Consol/Burning Star 5/20 Dam,,IL, 
West Henniker Dam,Contoocook River,NH, 
Orienta Falls Dam,Iron River,WI, 
Harpham Dam,,OH,Toledo, Ohio
Croton Dam,,Ontario,Delhi, Ontario, Canada
Hinkletown Mill Dam,Conestoga River,PA,Lancaster County, PA
Switzer Two Dam,,AK, 
State Route 800 Dam,,OH, 
Lake Placid Village Dam,Chubb River,NY, 
LaSalle Dam,Great Chazy River,NY, 
Glenbrook Gulch Dam/ Anadromous Fish Habitat Restoration,,CA, 
Lowe Creek 2 Dam,Lowe Creek,WI, 
Barlin Dam,,,Northern Central Taiwan
Hillburn Reservoir Dam,,NY, 
Ryerson Dam,Des Plaines River,IL, 
Newbold Diversion Dam,Gros Ventre River,WY, 
Mastrine Pond Dam,,OH, 
Campbellsport Millpond Dam,Milwaukee River,WI, 
Denlinger's Mill Dam,,PA,Millersville, Pennsylvania
Dunlop Creek Dam,Dunlap Creek,WI, 
Colonial Industrial Quarter Dam,Monocacy Creek,PA, 
Klondike Dam,Big Sioux River,IA, 
Union Brook Dam,Union Brook,VT, 
Chiloquin Dam,Sprague River,OR,Chiloquin, Oregon
D.B. Fields/Johnson Dam,Rice Creek,CA, 
Rexmont Dam #2,,PA, 
Fullenkamp Property,,NJ, 
Quaker Neck Dam,,NC,Goldsboro, North Carolina
Lower Hathaway Brook Dam,Hathaway Brook,MA, 
Jansen Road Dam,,NY, 
Indian Lake Dam,Indian River,CT, 
Dauberville Lake Dam,,PA, 
Upper Blue Mountain Dam,,NJ, 
Evans Pond Dam,Rathbone Creek,WI, 
Reading Museum Dam #2,Wyomissing Creek,PA, 
Piffer Dam,,PA, 
Heilman Dam,Mahoning Creek,PA, 
American Paper Products Dam,Conestoga River,PA, 
Luxton Lake Dam,Tenmile River,NY, 
Four Hill Flowage Dam,,WI, 
Stone Gate Park #2 Dam,,IL, 
Brown Bridge Dam,Boardman River,MI, 
Woolen Mills Dam,Rivanna River,VA,Charlottesville, Virginia
Old Berkshire Mill Dam,,MA, 
Lakewood Retreat Dam,,PA, 
Geises Dam,,PA, 
Unnamed Dam,Uchee Creek,AL, 
Fort Covington Dam,Salmon River,NY,northern New York
Dream Lake Dam,Hot Springs Creek,CA,Lassen Volcanic Park, California
Helfrich Springs Dam,Jordan Creek,PA, 
Foster Dam,Little Miami River,OH, 
HJFD8,,CA, 
Mumford Dam,Russian River,CA, 
Bradys Lake Dam,Lehigh River,PA, 
Duck Marsh Pond No. 26 Dam,,PA, 
Galeton Dam #1,Wetmore Run,PA, 
E-13 RESERVOIR,,HI, 
Chico Creek Instream Habitat Restoration,Chico Creek,WA, 
Packsaddle Dam,North Fork Packsaddle Creek,ID, 
Lower Saucon Sportsmens Association Dam,Saucon Creek,PA, 
Monsanto Dam #4,,TN, 
Mussers Dam,Middle Creek,PA, 
Lake Poco Dam,,PA, 
Wellingsly Dam #1,,MA, 
Troy Dam No. 1,Densons Creek,NC, 
Blackberry Creek Dam,Blackberry Creek,IL, 
Ohio Power Company Pond Dam,,OH, 
Big Spring Dam,,WI,Briggsville, WI
Lassiter Mill Dam,Uwharrie River,NC, 
Unnamed (Witman) Dam,Furnace Creek,PA, 
Goldsboro Dam,Fishing Creek,PA, 
Hemlock Dam,North Branch Oconto River,WI, 
Carr Lake Dam,,OH, 
Rakes Pond Dam,Pond Creek,PA, 
Rolling Rock Dams (9 small dams),Rolling Rock Creek,PA, 
Atlas Mineral Dam,,UT, 
Marie Dorian Dam,Walla Walla River,OR, 
Wisconsin Lutheran Seminary Dam,,WI, 
West Leechburg Dam,,PA, 
Madison Electric Dam,Sandy River,ME, 
Amish Dam #6,Muddy Creek,PA, 
Fair Haven Lake Dam,,OH, 
Prairie Creek Dam,Prairie Creek,MI, 
Stevensville Brook Dam,Stevensville Brook,VT, 
Dam #2,Des Plaines River,IL, 
Cross Dam,Brookhouser Creek,PA, 
Edwards Dam,Kennebec River,ME,Augusta, Maine
Genesee Roller Mill Dam #1,Genesee Creek,WI, 
Meadow Run Dam,Meadow Run,PA, 
TCFD9,,CA, 
Miller Trust Pond Dam,,SC, 
Unnamed Blockage #1 (Diffusion Dam 2),,WA, 
H and H Feedlot Dam,Cottonwood Creek,TX, 
Palmerton Dam,Lehigh River,PA, 
Highrock Dam,Muddy Creek,PA,southeastern Pennsylvania
Lower Little Pond Dam,,NY, 
Wasman Dam,Brush Creek,MI, 
HJFD9,,CA, 
Durham Dam,Cooks Creek,PA, 
Briggsville Dam,,MA, 
Platts Mill Dam,Naugatuck River,CT, 
Castleview Lower Dam,,PA, 
Kirkley Pond Dam,Little Sandy Creek,SC, 
Smyrna Dam (Tebbles Dam),Flat River,MI,Belding, Michigan
Amish Dam #3,Muddy Creek,PA, 
Central Sweden 01,,,Central Sweden
Alphonso Dam,Evans Creek,OR, 
Green Lane Dam,Yellow Breeches Creek,PA, 
Planing Mill Dam,Waupaca River,WI, 
Newburg Dam,Milwaukee River,WI, 
Mill Pond Dam,Third Herring Brook,MA, 
Snavley's Mill Dam,Fishing Creek,PA,Bloomsburg, Pennsylvania
Dam #2,,WI, 
Willow Falls Dam,Willow River,WI,Hudson, Wisconsin
Millmont Dam,,PA, 
Hackenberg Dam,Strodes Run,PA, 
Gunpowder Paper Mill Dam (Hoffman Paper Mill Dam),Gunpowder Falls,MD,Parkton, Maryland
Two Mile Dam,Santa Fe River,NM, 
Morgan Dam,High Bank Creek,MI, 
Murphy Creek Dam,Murphy Creek,CA,San Joaquin County, California
Unexpected Road Dam,,NJ, 
Wright Dam,Mill Creek,OR, 
Freight Street Dam,Naugatuck River,CT, 
Spring Dam,Pennypack Creek,PA, 
Condit Dam,White Salmon River,WA,Washington
Unnamed ford (Road 5440),Independence Creek,ID, 
Norwich Reservoir Dam,Charles Brown Brook,VT, 
Air Force Dam,Silver Lead Creek,MI, 
Nidelva River Dam 1, Nidelva River Dam 2,,,Grimstad, Norway
Walkers Dam,,TN, 
Elk Creek Dam,Elk Creek,OR, 
Big Rapids Dam,Muskegon River,MI, 
Golf Course Dam,,IL, 
Fort Halifax Dam,Sebasticook River,ME, 
Vaux #1 Dam,Lone Tree Creek,MT, 
Ash Bear Pen Dam,,NC, 
Crystal Springs Dam,,PA, 
Panhandle Road Dam,Olentangy River,OH, 
Old Furnace Dam,Blacklog Creek,PA, 
Beiler Dam,,PA, 
Collegeville Dam,,PA, 
McCoy-Linn Dam,Spring Creek,PA, 
Gruendyke Mill Dam,Musconetcong River,NJ, 
Sumner Dam,Gulph Creek,PA, 
Stimson Dam (AKA Bonner Dam),Blackfoot River,MT, 
Heads Pond Dam,Browns Brook,NH, 
Buster Lake Dam,Garden Creek,ID, 
Dennison Dam,Olentangy River,OH, 
Muren's (Seitzville Mill) Dam,South Branch Codorus Creek,PA, 
Woodside Dam 2,Twelvemile Creek,SC,Pickens County, South Carolina
Bonde Weir,San Francisquito Creek,CA, 
Bailey Dam,,PA, 
Williamsburg Station Dam,Frankstown Branch Juniata River,PA,Williamsburg, Pennsylvania
Sixmile Creek Pond Dam,Sixmile Creek,MI, 
Altapass Dam,Roses Creek,NC, 
Williamsport Dam,,OH,Delaware, Ohio
Union City Dam,Naugatuck River,CT,Naugatuck, Connecticut
Young America Dam,Milwaukee River,WI, 
Leeson Park Dam,Spring Brook,WI, 
Norristown Farm Park Dam,Stony Creek,PA, 
Kehly Run Dam No. 4,Kehly Run,PA, 
Hersey Dam,Hersey River,MI,Hersey, Michigan
Big Run Park Dam,Big Run,PA, 
Jackson Pond Dam,,RI, 
Unnamed Dam (Secor Road Dam),Ottawa River,, 
Modoc Reservoir Dam,,OH, 
Rains Mill Dam,Little River,NC,North Carolina
Fieldsville Dam,Raritan River,NJ, 
Bognor Dam,,Ontario,Bognor, Ontario, Canada
Bruemmerville Dam,Silver Creek,WI, 
Black Mud Waste Pond A Dam,,WA, 
Jacoby Road Dam,Little Miami River,OH, 
Unnamed Blockage #2 (Diffusion Dam 3),,WA, 
McGoldrick Dam,Ashuelot River,NH, 
Lowe Creek 1 Dam,Lowe Creek,WI,Hixton, Wisconsin
South Batavia Dam,Fox River,IL,Batavia, Illinois
Rock Hill Dam,Conestoga River,PA, 
HJFD6,,CA, 
Unnamed (Right mill race) Dam,,PA, 
Shearer Dam,Calapooia River,OR,Shedd, Oregon
Marion Kihn Dam,,WI, 
Badger Pond Dam,Tioga River,NH, 
Kendrick Pond Dam,Sugar Hollow Brook,VT, 
Derby Petroleum Lake Dam,,OH, 
Harvell Dam,Appomattox River,VA, 
Wellingsly Dam #2,,MA, 
Shopiere Dam,Turtle Creek,WI,Rock Co, Wisconsin
Curry Pond Dam,,NY, 
Upper Crown Mill Dam,Ninemile Creek,NY, 
Collapsible Butler Dam,Connoquenessing Creek,PA, 
Cuddebackville Dam,Neversink River,NY, 
Diehl Dam,,NE, 
Mounds Dam,Willow River,WI,Hudson, Wisconsin
Giles White (Ontario Dam),,WI,Ontario, Wisconsin
South Fork Necanicum Diversion Dam,,OR, 
Siebert Dam,Miller Run,PA, 
Siloam Dam,Conococheague Creek,PA, 
Route 22 Dam,Jordan Creek,PA, 
Williams Dam,,OH, 
Camp Inawendiwin Lower Dam,Friendship Creek,NJ, 
Frankel Dams,Aspetuck River,CT, 
Meisers Mill Dam,Gebhard Run,PA, 
Unnamed ford,,AR, 
Shasta River Water Association Diversion Dam,Nelson Creek,CA, 
Claysville School Street No. 1 Dam,,PA, 
Kunkel Dam,Soldier Creek,ID, 
Hemlock Dam,Trout Creek,WA, 
Castle Finn Dam,Muddy Creek,PA,southeastern Pennsylvania
Marengo Dam,Marengo River,WI, 
McMillan Dam,Pecos River,NM, 
Lake Deforest Dam,,TN, 
Hamby Dam,West Birch Creek,OR, 
Pattengail Dam,Pettengill Creek,MT,Butte, Montana
Chesaning Dam,Shiawassee River,MI, 
Chase Brass Dam,Naugatuck River,CT, 
Wellington Dam,,,Wellington in central western New South Wales, Australia
Cupola Dam,East Branch Brandywine Creek,PA, 
Huigen Dam,Handsaw Creek,WI, 
Huttonville Dam,,Ontario,Huttonville, Ontario, Canada
Old Shadow Lake Dam,Turkey Creek,AL, 
Cascade Diversion Dam,Merced River,CA, 
Snavely's Mill Dam,Chiques Creek,PA, 
Moosup Dam #1,Moosup River,CT, 
Wasena Park Dam,Roanoke River,VA, 
Octoraro Dam,,MD, 
Brownsville Dam,Calapooia River,OR,Brownsville, Oregon
Unnamed Dam,Eshleman Run,PA, 
Shoreys Brook Dam,Shoreys Brook,ME, 
Mud Creek Dam,Mud Creek,MI, 
DuPont Dam,South River,VA, 
Brownville Dam,,ME, 
Two Mile Run Dam,Twomile Run,PA, 
Ashton Dam #2,Hunting Run,, 
Sennebec Dam,Saint George River,ME, 
Maple Gulch Dam,,OR,Medford, Oregon
Salt Creek Dam,Salt Creek,CA, 
Homestead Woolen Mills Dam,Ashuelot River,NH, 
Cedar Creek Weir,Cedar Creek,NJ, 
Eel River Headwaters Restoration 3,,MA, 
Savage Rapids Dam,Rogue River,OR,Grants Pass, Oregon
Clear Shade Creek Reservoir Dam,Clear Shade Creek,PA, 
Raven Rock Dam,,MD, 
Marmot Dam,Sandy River,OR,Brightwood, Oregon
Buckhorn Dam,,NC, 
Haypress Pond Dam,,CA, 
Slabtown Dam,Bark River,WI,Slabtown, Wisconsin
Cumberland Marsh Dam,,VA, 
Ellsworth No. 2 Dam,Pigeon Creek,PA, 
Manatawny Creek Dam,Manatawny Creek,PA,southeastern Pennsylvania
Anne Jackson Girl Scout Dam,,NH, 
Leonards Dam,Forked Creek,IL, 
Old City Reservoir Dam,,SC, 
Fowler Finch Dam,,NY, 
Spanglers Mill Dam,Yellow Breeches Creek,PA, 
Tucker Road Ford,,CA, 
Spitzer Dam,Millhome Creek,WI, 
Niles Dam,Alameda Creek,CA, 
Crivitz Dam,Peshtigo River,WI, 
Smethport Reservoir Dam,Blacksmith Run,PA, 
Phillipston Reservoir Dam #2,Mill Brook,MA, 
Calco Diffusion Weir Dam,Raritan River,NJ, 
Manchester Dam,Maquoketa River,IA, 
Pumping Station Dam,Dunkard Creek,PA, 
Elwha Dam,Elwha River,WA,Port Angeles, Washington
Mixel Dam,Doubling Gap Creek,PA, 
Trout Hatchery Dam,Little Lehigh Creek,PA, 
Bear Run Lower Dam,Bear Run,PA, 
Birch Run Dam,Conococheague Creek,PA, 
Wonder Lake Dam,,OH, 
Olsens Lake Dam,,IL, 
Occidental Chem Dam #6,,TN, 
Fairbanks Avenue Dam,Des Plaines River,IL, 
Veteran's Memorial Park Dam,Pigg River,VA, 
Waszkiewicz Dam,Grey Creek,MI, 
Laurel Run Reservoir Dam,Laurel Run,PA, 
Stevens Brook Dam,Stevens Brook,NH, 
Old Skinner Dam,,PA, 
Goldfield Dam,Boone River,IA, 
City of Kake Dam,,AK, 
Hopewell Mills Dam,Mill River,MA, 
Ward Paper Mill Dam,Prairie River,WI, 
Bunker Pond Dam,,NH, 
No dam (fish farm weir removed),,,Southern Brittany, France
Kohut Pond Dam,Hess Run,PA, 
Goodrich Dam,Perkiomen Creek,PA, 
Mt Joy (SICO) Dam,Little Chiques Creek,PA, 
Unnamed Dam,Beaver Creek,PA, 
Manton Millpond Dam,Manton Creek,MI, 
Wapping Road Dam,,MA, 
Kinne Brook Dam,Kinne Brook,MA, 
Hebron Dam,Bark River,WI,Fort Atkinson, Wisconsin
Boydstown Dam,Connoquenessing Creek,PA, 
Baltic Mills Dam,Shetucket River,CT, 
Ralph Stover Dam,Tohickon Creek,PA, 
Maxwell Pond Dam,Black Brook,NH, 
Waterman Dam,Pescadero Creek,CA, 
Poston Fresh Water Pond Dam,,OH, 
Crocker Creek Dam,Crocker Creek,CA, 
Monsanto Dam #3,,TN, 
Judson College Dam,Tyler Creek,IL, 
Knightly Dam,Middle River,VA, 
Sandstone Dam,Kettle River,MN,Sandstone, Minnesota
McPherrin Dam,Butte Creek,CA, 
Hoffmann Dam,Des Plaines River,IL, 
Georgetoen Freshwater Dam,,OH, 
Pool Colony Dam,,NJ, 
Charlotte City Dam,Battle Creek,MI, 
Bennet Dam,Lodgepole Creek,NE, 
Little River Dam,Little River,ME, 
Northland Dam,Flume Creek,WI, 
Right Branch Dam,Right Branch Wetmore Run,PA, 
Unnamed Remnant Dam,Salmon Brook,ME, 
Wolcott Dam,North Branch Clinton River,MI, 
Kent Park Dam,Darby Creek,PA, 
High Plains Estates,,, 
Upper Flume Dam,,MA, 
Swim Dam #2,Alameda Creek,CA, 
5th Avenue Dam,Olentangy River,OH, 
Bearcamp River Dam,Bearcamp River,NH, 
Coal Creek Dam #2,Coal Creek,PA, 
Unknown,Olds Creek,CA, 
Mission Dam,Antelope Creek,SD, 
Gravesleigh Pond Dam,,MA, 
Old Saluda Reservoir Dam,,SC, 
Minnesota Falls Dam,Minnesota River,MN, 
Baldwin Creek Dam 1,Baldwin Creek,OH, 
Johnson State Dam,,VT, 
Linen Mill Dam,Baraboo River,WI,Baraboo, WI
East Mill Creek Barrier Removal,Mill Creek,CA, 
Unnamed Upper Dam,West Branch Chester Creek,PA, 
Millpond Dam,Osceola Creek,WI, 
Fulton,Yahara River,WI,Edgerton, Wisconsin
Flandrau Dam,Cottonwood River,MN, 
Halemano 6 Reservoir,,HI, 
Pizzini Dam,Eightmile River,CT, 
Bear Rock Run Dam 2,Bear Rock Run,PA, 
Washburn Run Dam,Washburn Run,PA, 
Fredricksburg & Spotsylvania Dam #6 (Ashley Farm Pond),Ninemile Run,VA, 
North Avenue Dam,Milwaukee River,WI,Milwaukee, Wisconsin
Sandwich Game Farm Dam,,MA, 
Bayou Dupont #13 Dam,,LA, 
Sherwood Hollow Dam,,PA, 
Henry Eby Dam,,PA, 
Black Dam,Conodoguinet Creek,PA, 
Unnamed Dam,West Branch Chester Creek,PA, 
Rockdale Dam,Koshkonong Creek,WI,Rockdale, Wisconsin
Pawtuxet Falls Dam,Pawtuxet River,RI,Cranston, Rhode Island
Fink Dam,,OH, 
Gongneung Weir2,,,Kyeonggi Province, Korea
White Gulch Dam #1 (Whites Gulch Lower Dam),,CA, 
TCFD10,,CA, 
Carters Dam,,PA, 
Spread Creek Dam,,WY, 
Fredricksburg & Spotsylvania Dam #2 (Clark Farm Pond #3),Strawberry Branch,VA, 
Chandlers Dynamo Dam,Little River,NC, 
Pottersville Dam,,NJ, 
White River Mill Pond Dam,Boise Creek,WA, 
Grist Mill Dam,Souadabscook Stream,ME, 
Eel River Headwaters Restoration 2,,MA, 
Stone's Dam,Hakihokake Creek,NJ, 
Kladder Dam,,PA, 
Stroud Preserve Dam,,PA, 
Unnamed Dam #3 (Lithia Park Dam 3),Ashland Creek,OR, 
Rooney Bros Dam,Cosumnes River,CA, 
Randall Mill Dam,Chandler Brook,ME, 
Middleville Dam,,NJ, 
Champlin Pond Dam #2,Clark Brook,NH, 
New Jersey No Name # 125 Dam,Watering Race Branch,NJ, 
Amish Dam #8,Muddy Creek,PA, 
Dexter Dam,Mill Creek,MI,Dexter, Michigan
Nelson Park Dam,Alum Creek,OH, 
Mohnton Water Supply Dam,Wyomissing Creek,PA, 
Lake St. Francis Dam,Crow Creek,AR, 
Kaoshan Stream Dam 3,,,Shei-Pa National Park, Taiwan
Sykes Dam,Harrison Creek,VA, 
Snare Run Reservoir Dam,Snare Run,PA, 
Catching Dam,North Fork Middle Fork Willamette River,OR, 
Rexmont Dam #1,Hammer Creek,PA, 
Kamrath Dam,Elk Creek,WI, 
Wallace Creek Dam,Wallace Creek,MT, 
Cartwright Dam,Shell Creek,WI, 
Cove Valley Christian Camp Dam,Little Cove Creek,PA, 
Plainwell Dam #1,Kalamazoo River,MI, 
Big Brown Dam,Browns Run,PA, 
Sylvan Lake Dam,,NJ, 
Dyerville Dam,,RI, 
Sweasey Dam,Mad River,CA, 
White Rapids Brook,,New Brunswick,New Brunswick, Canada
Veazie Dam,Penobscot River,ME, 
Lafayette Locks Dam,Yamhill River,OR, 
Jordan Park Dam,Jordan Creek,PA, 
Detter's Mill Dam,Conewago Creek,PA, 
Poclain Dam,,, 
Unnamed Dam #2,Pequea Creek,PA, 
Franklin Mill Dam,Middle Creek,PA,Middleburg, Pennsylvania
Shear Dam,,OR, 
Copemish Dam,First Creek,MI, 
Eel River Headwaters Restoration 6,,MA, 
Fredricksburgh Milstead B Dam,Massaponax Creek,VA, 
Black Creek Intake Dam,Black Creek,PA, 
Cabin Hill Dam,Spring Creek,PA, 
Lower Flume Dam,,MA, 
Railroad Reservoir Dam,,TX, 
Mirror Lake Dam,Wyomissing Creek,PA, 
Sharpless Dam,Ridley Creek,PA, 
Lower Murphy Dam,,CA, 
Bowen Mill Dam,Pine River,WI,Richland Center, Wisconsin
Gold Ray Dam,Rogue River,OR,Central Point, OR
Lake Hill #2 Dam,,OH, 
Unnamed Dam (JOHN BALL RESERVOIR),,MT, 
Spence Farm Pond Dam #5,,TN, 
Mellen Dam,Bad River,WI, 
South Fork Klaskanine Dam,South Fork Klaskanine River,OR, 
Hopkinton Dam,Maquoketa River,IA, 
Spruce Pine Dam,North Toe River,NC, 
Intake Dam,Rife Run,PA, 
Glenside Dam,,NJ, 
Barr Slope Reservoir Dam,Dixon Run,PA, 
Stony Point Dam,Furnace Run,PA, 
Whittenton Dam,Mill River,MA, 
Swim Dam #1,Alameda Creek,CA, 
Lower Pond Dam,Roaring Brook,CT, 
Boone Waterworks Dam,Des Moines River,IA, 
Wellingsly Dam #3,,MA, 
Wilmot Dam,Fox River,WI, 
Unnamed Dam,Splinter Creek,WI, 
Mt. Vernon,Mount Vernon Creek,WI,Mt Horeb, Wisconsin
Ballou Dam,Yokum Brook,MA, 
Pancheri Diversion Dam,,ID, 
Mill Pond Dam,Chippewa River,MI, 
DeSantos Dam/Arnold,Brewster Creek,IL,Elgin, Illinois
Springfield Dam,,IL, 
Valsetz Dam,South Fork Siletz River,OR, 
Shades Branch Steel Ford,Shades Creek,AL, 
Mill Port Conservancy Dam,,PA, 
War Dam,Morrison Run,PA, 
Fredricksburgh & Spotsylvania Dam #3,,VA, 
Zebedee Wetland Dam,Zebedee Brook,VT, 
Kent Dam,Cuyahoga River,OH, 
Consol Pond Dam,Stillwater Creek,OH, 
Penns Creek 1,Penns Creek,PA,
Hunters Dam,Hunter Creek,WA, 
Sisters Dam Removal,,OR, 
Dufresne Dam,Batten Kill,VT, 
Piraneo Lake Dam,,NJ, 
Lane Dam,,ID, 
North Avenue Dam,Fox River,IL, 
Anaconda Dam,Naugatuck River,CT,Waterbury, Connecticut
Jenkins Road McQuade Brook Dam,McQuade Brook,NH, 
Rogers Dam,,CA, 
Millsap Reservoir Dam,Grassy Branch,TX, 
Okie Rice Dam,Little Darby Creek,OH, 
East Branch Dam,,OH, 
Dayton Dam,Sixmile Run,PA, 
William Miaski Dam,,NY, 
