title,gnis_name,state,locatio
Dinner Creek Dam,Dinner Creek,OR,Cottage Creek, Oregon
Fredricksburg & Spotsylvania Dam #5 (Fariview Farm Pond),,VA, 
Steele's Mil Dam,Hitchcock Creek,NC,Cordova, North Carolina
Old Withers Dam,,PA, 
Rhawn Street Dam,Pennypack Creek,PA, 
Hayman Falls Dam,Embarrass River,WI, 
Upper Hurricane Reservoir,,, 
Shoops Dam,Middle Spring Creek,PA, 
Spoonville Dam,,CT, 
Berning Mill Dam,,MN, 
Oscada Dam,,OH, 
Warrenville Dam,West Branch Du Page River,IL, 
Chancellorsville Brygadier B Dam,Hunting Run,VA, 
Breakneck Brook Dam,Breakneck Brook,NY, 
Hoffman Park Dam,Darby Creek,PA, 
Ettrick Dam,North Fork Beaver Creek,WI,Ettrick, Wisconsin
Camp Nine Dam,Stanislaus River,CA, 
North Manchester Dam,Eel River,IN, 
Hoffman Dam,Yellow Breeches Creek,PA, 
LeFever Powerhouse Dam,Cuyahoga River,OH,Chagrin Falls, Ohio
Sharpsburgh Reservoir Dam,Little Flat Creek,KY, 
Smucker Dam,Groff Run,PA, 
Cox Creek Dam,Cox Creek,OR, 
Ashton Dam #1,,, 
West Milton Dam,Stillwater River,OH, 
Growden Dam,Sherman Creek,WA, 
Byrne Diversion Dam,Beaver Creek,OR, 
Howell Dam,,PA, 
Alamo Arroyo Dam,,TX, 
Heart Break Dam,,OH,northern Ohio
Chilligo Dam,,Ontario,Cambridge, Ontario, Canada
East Machias Dam,East Machias River,ME, 
Upper Swepsonville Dam,Haw River,NC, 
Dundaff Dam,Dundaff Creek,PA, 
German Farm Dam,Auglaize River,OH,Delaware, Ohio
Eblen-Powell Dam #1,Ollis Creek,TN, 
Taylor Dam,Birch Creek,OR, 
Bear Run Upper Dam,Bear Run,PA, 
Woodings Pond Dam,,CT, 
SunRay (Hospital) Dam and unnamed remnant,Conewango Creek,PA, 
Ceresco Dam,Kalamazoo River,MI, 
Lyndon State College Lower Dam,,VT, 
